vessel_id,vessel_name,vessel_type,vessel_age,gross_tonnage,engine_type,flag_state,operator_company,last_inspection_date,compliance_status,policy_id,previous_premium,past_claims_count,total_claim_amount,claim_reason,last_claim_date,policy_coverage,timestamp,latitude,longitude,speed_knots,course_degrees,destination,port_of_departure,next_port,region,piracy_risk,war_zone_risk,historical_piracy_incidents,historical_collision_incidents,marine_traffic_density,weather_condition,wave_height_m,wind_speed_knots,sea_temperature_C,storm_risk_score,crew_experience_avg_years,safety_incidents_last_5yrs,maintenance_frequency,emergency_response_time,insurance_premium_pred,risk_category
VSL-1000,Ship_1,Fishing,15,45000.00,Diesel,Panama,Company_A,2023-05-15,True,POL-1000,120000.00,3,50000.00,Collision,2022-08-10,300000.00,2023-10-26 10:30:00,35.6895,139.6917,0.0,0,Port_Tokyo,Port_Tokyo,Port_Tokyo,Pacific,0.05,0.10,5,8,70,Clear,1.2,15.0,20.0,0.1,10.0,2,4.0,30.0,125000.00,Medium
VSL-1001,Ship_2,Container,8,60000.00,Hybrid,Singapore,Company_B,2023-06-20,True,POL-1001,150000.00,1,20000.00,Theft,2021-12-05,400000.00,2023-10-26 10:35:00,1.3521,103.8198,14.0,200,Port_Singapore,Port_Shanghai,Port_Singapore,Indian,0.02,0.05,2,3,80,Cloudy,0.8,10.0,25.0,0.05,12.0,1,5.0,25.0,155000.00,Low
VSL-1002,Ship_3,Tanker,20,80000.00,Electric,USA,Company_C,2023-04-10,False,POL-1002,200000.00,4,100000.00,Fire,2023-01-15,500000.00,2023-10-26 10:40:00,40.7128,-74.0060,10.0,150,Port_New_York,Port_Houston,Port_New_York,Atlantic,0.10,0.20,10,12,60,Rain,2.5,20.0,18.0,0.2,15.0,3,6.0,20.0,210000.00,High
VSL-1003,Ship_4,Cargo,12,55000.00,Diesel,China,Company_D,2023-07-25,True,POL-1003,180000.00,2,30000.00,Weather,2022-05-20,350000.00,2023-10-26 10:45:00,22.3964,114.1095,11.0,220,Port_Hong_Kong,Port_Shenzhen,Port_Hong_Kong,Asian,0.03,0.15,3,5,75,Storm,3.0,25.0,22.0,0.3,11.0,2,4.5,22.0,185000.00,Medium
VSL-1004,Ship_5,Fishing,25,30000.00,Diesel,Japan,Company_E,2023-03-12,False,POL-1004,90000.00,5,80000.00,Collision,2023-09-01,200000.00,2023-10-26 10:50:00,35.6895,139.6917,9.0,250,Port_Yokohama,Port_Osaka,Port_Yokohama,Pacific,0.08,0.12,8,10,65,Fog,1.5,18.0,19.0,0.15,9.0,4,3.5,35.0,95000.00,High
VSL-1005,Ship_6,Container,10,70000.00,Hybrid,Germany,Company_F,2023-08-05,True,POL-1005,220000.00,1,15000.00,None,2021-11-10,450000.00,2023-10-26 10:55:00,52.5200,13.4050,13.0,190,Port_Hamburg,Port_Rotterdam,Port_Hamburg,European,0.01,0.08,1,2,85,Clear,0.5,12.0,16.0,0.07,14.0,1,6.0,18.0,225000.00,Low
VSL-1006,Ship_7,Tanker,18,85000.00,Electric,UK,Company_G,2023-09-18,False,POL-1006,250000.00,3,60000.00,Fire,2022-07-22,550000.00,2023-10-26 11:00:00,51.5074,-0.1278,8.0,170,Port_London,Port_Southampton,Port_London,Atlantic,0.12,0.25,12,15,55,Rain,2.0,22.0,17.0,0.25,13.0,3,5.5,24.0,260000.00,High
VSL-1007,Ship_8,Cargo,22,50000.00,Diesel,South Korea,Company_H,2023-02-28,True,POL-1007,160000.00,2,25000.00,Theft,2022-03-15,300000.00,2023-10-26 11:05:00,37.5665,126.9780,10.5,210,Port_Busan,Port_Incheon,Port_Busan,Asian,0.04,0.18,4,6,70,Cloudy,1.0,14.0,21.0,0.12,10.0,2,4.0,28.0,165000.00,Medium
VSL-1008,Ship_9,Fishing,30,35000.00,Diesel,Russia,Company_I,2023-01-15,False,POL-1008,80000.00,6,90000.00,Collision,2023-08-05,180000.00,2023-10-26 11:10:00,55.7558,37.6173,7.0,240,Port_St_Petersburg,Port_Murmansk,Port_St_Petersburg,Arctic,0.15,0.30,15,20,50,Snow,4.0,30.0,5.0,0.35,8.0,5,3.0,40.0,85000.00,High
VSL-1009,Ship_10,Container,5,65000.00,Hybrid,France,Company_J,2023-10-10,True,POL-1009,210000.00,0,0.00,None,,500000.00,2023-10-26 11:15:00,48.8566,2.3522,14.5,200,Port_Marseille,Port_Le_Havre,Port_Marseille,European,0.02,0.10,2,4,90,Clear,0.7,10.0,15.0,0.08,16.0,0,7.0,15.0,215000.00,Low
